City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
477,Coquimbo,CL,60.53,broken clouds,-29.9533,-71.3436,Hotel San Juan
481,Torbay,CA,67.87,scattered clouds,47.6666,-52.7314,Gallows Cove
485,Coruripe,BR,74.12,few clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
486,Tommot,RU,60.4,light rain,58.9564,126.2925,Gostinitsa Tommot
489,Taiobeiras,BR,71.31,scattered clouds,-15.8078,-42.2331,Dallas Hotel
492,Kologriv,RU,66.11,broken clouds,58.8275,44.3178,Postoyalyy Dvor
493,Masvingo,ZW,58.03,few clouds,-20.0637,30.8277,River Side Lodge
495,Sistranda,NO,51.76,overcast clouds,63.7256,8.834,Hotell Frøya
496,Zatoka,UA,74.68,broken clouds,46.0725,30.4654,Sonyachna
497,Dandong,CN,67.26,broken clouds,40.1292,124.3947,Yiranju Farmstay
501,Quatre Cocos,MU,70.09,overcast clouds,-20.2078,57.7625,Sunrise Attitude Hotel
502,Eyemouth,GB,72.82,clear sky,55.8713,-2.0901,Redhall Cottage
505,Sao Filipe,CV,73.98,scattered clouds,14.8961,-24.4956,Hotel Xaguate
506,Sitka,US,58.89,overcast clouds,57.0531,-135.33,Westmark Sitka
507,Katherine,AU,50.32,scattered clouds,-14.4667,132.2667,Pine Tree Motel
508,Nkhata Bay,MW,66.36,clear sky,-11.6066,34.2907,Mayoka Village
509,Bukachacha,RU,54.36,overcast clouds,52.9833,116.9167,
510,Mezen,RU,63.9,broken clouds,65.8522,44.24,Gostevoy Dom Everest
515,Boshnyakovo,RU,61.81,moderate rain,49.6333,142.1667,
516,Victor Harbor,AU,51.67,light rain,-35.5667,138.6167,McCracken Country Club
525,Pouembout,NC,73.15,light rain,-21.1333,164.9,Camping de Tipenga
529,Luau,AO,62.69,clear sky,-10.7073,22.2247,Casa- Bernardo Cândido
530,Verkhoyansk,RU,59.0,overcast clouds,67.5447,133.385,
534,Vagur,FO,51.93,broken clouds,61.4732,-6.8119,Budget Guesthouse Borgustova
536,Camana,PE,64.31,overcast clouds,-16.6228,-72.7111,Hostal Morales
540,Aksu,CN,72.9,broken clouds,41.1231,80.2644,Pudong Holiday Hotel
541,Krasnyy Chikoy,RU,51.93,light rain,50.3643,108.7512,Persona
542,Bamiantong,CN,64.35,light rain,44.9333,130.5333,Dehuiyuan Leisure Resort
543,Malanje,AO,68.09,few clouds,-9.5402,16.341,Hotel Ginga
545,Slave Lake,CA,66.18,overcast clouds,55.2834,-114.769,Super 8 by Wyndham Slave Lake AB
546,Ivangorod,RU,57.67,overcast clouds,59.3716,28.2162,Narva hotell
548,Kango,GA,71.74,scattered clouds,0.1943,10.0951,Hôtel Bar Restaurant Le Bercail
549,Baglung,NP,70.97,overcast clouds,28.2719,83.5898,Hotel Peace Palace
551,Zyryanka,RU,67.26,scattered clouds,65.75,150.85,
554,Port Keats,AU,59.07,broken clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
555,Nouadhibou,MR,71.58,broken clouds,20.931,-17.0347,El Medina
556,Pisco,PE,66.25,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
557,Sangar,RU,58.86,overcast clouds,63.9242,127.4739,
560,Kodinsk,RU,59.65,moderate rain,58.6881,99.1844,
563,Heilbron,ZA,50.31,broken clouds,-27.2812,27.9709,Guest house
564,Zverinogolovskoye,RU,70.3,overcast clouds,54.4586,64.8542,
565,Khandyga,RU,67.19,light rain,62.6667,135.6,Apel'sin
566,Nyagan,RU,62.04,scattered clouds,62.1406,65.3936,Rainbow Hotel
567,Guiberoua,CI,70.7,overcast clouds,6.2392,-6.1727,HOTEL LAGOTCHÉ
569,Tarata,BO,74.62,broken clouds,-17.6167,-66.0167,Hacienda castillo
570,Sarahan,IN,63.64,overcast clouds,31.5167,77.8,Hotel Monal
571,Boundiali,CI,73.24,overcast clouds,9.5217,-6.4869,Hotel Paysan Boundiali
572,Shu,KZ,70.86,broken clouds,43.5983,73.7614,Shyngyzkhan
576,Ostrovnoy,RU,53.8,few clouds,68.0531,39.5131,
578,Nurota,UZ,74.79,clear sky,40.5614,65.6886,Guest House Ruslan Nurata & Tours
579,Athni,IN,70.65,light rain,16.7333,75.0667,Basawasri Lodge
582,Eston,CA,71.92,overcast clouds,51.1501,-108.7514,Hearthside Place B&B
586,Kincardine,GB,71.87,clear sky,56.0667,-3.7167,Premier Inn Falkirk North hotel
587,Yarensk,RU,64.42,broken clouds,62.1675,49.0916,Outskirts hotel
590,Leshukonskoye,RU,63.59,overcast clouds,64.8989,45.7622,Pryalitsa Hostel
591,Ileza,RU,65.59,light rain,61.0533,43.9002,
592,Rochegda,RU,62.42,light rain,62.8,43.25,
596,Sheksna,RU,62.56,overcast clouds,59.21,38.5107,Гостиница Hotel VNV
597,Japura,ID,73.83,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
600,Betioky,MG,63.37,clear sky,-23.7167,44.3833,Bungalows Acacias Hotel
601,Cherskiy,RU,51.93,overcast clouds,68.75,161.3,Gostinitsa
602,Maralal,KE,58.84,overcast clouds,1.0968,36.698,Ngari Hill Ecolodge
604,Helong,CN,62.94,overcast clouds,42.5397,128.9972,Helong Hotel
605,Troitsko-Pechorsk,RU,62.85,scattered clouds,62.7084,56.1964,Pechora Gostinitsa
609,Bulgan,MN,52.56,light rain,48.8125,103.5347,Unitel Булган салбар
611,Boyabat,TR,67.73,overcast clouds,41.4689,34.7667,Kolaz Palas Otel
612,Kaeo,NZ,58.32,light rain,-35.1,173.7833,Bushido Lodge
614,Bandraboua,YT,74.88,clear sky,-12.7044,45.1223,HASSANI Mikidachi
615,Smirnykh,RU,58.59,overcast clouds,49.75,142.8333,Tsentral'naya
616,Esperance,AU,54.81,broken clouds,-33.8667,121.9,Hospitality Esperance
617,Fereydunshahr,IR,67.6,scattered clouds,32.941,50.121,موسسه آسمان پرواز پرتیکان
620,Ulaanbaatar,MN,62.73,broken clouds,47.9077,106.8832,The Blue Sky Hotel and Tower
621,Port-Gentil,GA,71.56,mist,-0.7193,8.7815,Fengshui Residence
625,Melo,UY,72.05,broken clouds,-32.3667,-54.1833,Hotel Juana
626,Khandbari,NP,72.41,overcast clouds,27.3747,87.2039,Sainik Hotel And Lodge
627,Sandviken,SE,59.11,clear sky,60.6167,16.7667,Alséns Hotel
630,Lakselv,NO,57.02,scattered clouds,70.0513,24.9718,Lakselv Hotel
632,Odweyne,SO,70.68,overcast clouds,9.4092,45.064,Eng Hiirey House
