City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
169,Buchanan,5.8808,-10.0467,76.59,84,85,6.26,overcast clouds
170,Sao Filipe,14.8961,-24.4956,73.36,84,2,7.49,clear sky
171,Portland,45.5234,-122.6762,66.42,80,40,4.61,scattered clouds
172,Puerto Boyaca,5.9758,-74.5885,73.04,97,99,2.06,overcast clouds
173,Port Elizabeth,-33.918,25.5701,48.49,87,0,1.14,clear sky
174,Porto Novo,6.4965,2.6036,78.62,87,100,7.18,light rain
175,Capreol,46.706,-80.9225,59.56,82,20,8.05,few clouds
176,Ust-Koksa,50.2696,85.6108,66.63,64,100,2.33,overcast clouds
177,Bathsheba,13.2167,-59.5167,81.21,88,75,23.02,broken clouds
178,Talnakh,69.4865,88.3972,56.21,87,100,7.72,light rain
179,Mehamn,71.0357,27.8492,53.51,100,75,0.0,broken clouds
180,Srednekolymsk,67.45,153.6833,85.37,43,17,6.91,few clouds
181,Chinsali,-10.5414,32.0816,65.57,57,5,6.58,clear sky
182,Cidreira,-30.1811,-50.2056,59.2,84,100,6.15,light rain
183,Bonavista,48.6499,-53.1147,50.79,90,100,19.17,overcast clouds
184,Kavieng,-2.5744,150.7967,81.21,81,100,14.12,moderate rain
185,Padang,-0.9492,100.3543,87.85,69,93,5.61,overcast clouds
186,Vestmannaeyjar,63.4427,-20.2734,50.58,90,63,21.9,broken clouds
187,Havre-Saint-Pierre,50.2334,-63.5986,50.0,87,0,2.3,clear sky
188,Puerto Leguizamo,-0.1934,-74.7819,70.18,99,100,1.57,overcast clouds
189,Teguise,29.0605,-13.564,66.42,83,20,19.57,few clouds
190,Chuy,-33.6971,-53.4616,42.03,60,0,4.81,clear sky
191,Hervey Bay,-25.2986,152.8535,62.62,50,0,12.21,clear sky
192,Wageningen,51.9667,5.6667,61.86,80,100,5.75,overcast clouds
193,Katsuura,35.1333,140.3,77.32,73,7,20.62,clear sky
194,Tura,25.5198,90.2201,87.55,66,100,6.62,overcast clouds
195,Flinders,-34.5833,150.8552,55.18,64,0,11.01,clear sky
196,Qasigiannguit,68.8193,-51.1922,39.87,93,100,3.87,overcast clouds
197,Chegutu,-18.1302,30.1407,61.14,50,0,7.94,clear sky
198,Ostrovnoy,68.0531,39.5131,65.39,60,91,11.61,light rain
199,Linxia,35.6003,103.2064,91.96,28,66,11.52,broken clouds
200,Sigayevo,56.4216,53.7757,75.4,62,0,5.57,clear sky
201,Nanortalik,60.1432,-45.2371,43.12,93,100,0.6,overcast clouds
202,Port Blair,11.6667,92.75,87.84,70,40,9.22,scattered clouds
203,Taltal,-25.4,-70.4833,56.23,87,44,8.86,scattered clouds
204,San Policarpo,12.1791,125.5072,85.51,68,100,8.52,overcast clouds
205,Oakdale,44.963,-92.9649,74.62,94,20,4.61,light rain
206,Saryg-Sep,51.5,95.6,74.35,34,61,6.96,broken clouds
207,Dauphin,51.1494,-100.0502,57.34,89,0,4.61,clear sky
208,Tuatapere,-46.1333,167.6833,44.35,95,100,4.12,light rain
209,Kendari,-3.945,122.4989,76.69,92,100,1.28,overcast clouds
210,Marawi,7.9986,124.2928,76.26,87,100,4.68,heavy intensity rain
211,Damavand,35.7178,52.065,81.3,21,0,8.08,clear sky
212,Baghdad,33.3406,44.4009,98.51,18,0,8.05,clear sky
213,Freeport,40.6576,-73.5832,71.19,81,0,3.44,clear sky
214,Victoria,22.2855,114.1577,91.45,77,28,10.0,scattered clouds
215,Mimongo,-1.6195,11.6068,70.77,86,100,3.29,overcast clouds
216,Rabo De Peixe,37.8,-25.5833,65.28,83,75,8.05,broken clouds
217,Lebu,-37.6167,-73.65,44.04,88,1,8.57,clear sky
218,Muros,42.7762,-9.0603,68.09,74,0,6.85,clear sky
219,Geraldton,-28.7667,114.6,79.21,17,0,13.8,clear sky
220,Pavilosta,56.8879,21.1859,64.31,84,100,2.89,overcast clouds
221,Bongandanga,1.5,21.05,80.22,68,42,2.42,scattered clouds
222,Khorramshahr,30.4397,48.1664,103.96,10,0,6.91,clear sky
223,Erdenet,49.0333,104.0833,69.28,39,39,3.76,scattered clouds
224,Plouzane,48.3833,-4.6167,59.32,97,0,8.05,clear sky
225,Saint-Joseph,-21.3667,55.6167,71.98,64,17,16.02,few clouds
226,Korla,41.7597,86.1469,92.05,14,100,6.89,overcast clouds
227,Andenes,69.3143,16.1194,49.93,93,100,21.85,overcast clouds
228,Basco,20.4487,121.9702,84.94,77,53,15.57,broken clouds
229,Venice,27.0998,-82.4543,80.01,96,100,4.61,overcast clouds
230,Port Hardy,50.6996,-127.4199,55.58,94,100,4.61,overcast clouds
231,Mareeba,-17.0,145.4333,75.67,67,1,4.52,clear sky
232,Guerrero Negro,27.9769,-114.0611,66.6,88,0,11.68,clear sky
233,Cerea,45.1921,11.2103,77.34,67,0,4.21,clear sky
234,La Joya,18.6667,-99.4667,71.38,93,100,3.62,overcast clouds
235,Luocheng,29.3848,104.0286,98.19,35,1,7.18,clear sky
236,Nome,64.5011,-165.4064,55.17,94,100,6.91,overcast clouds
237,Valparaiso,-33.0393,-71.6273,50.47,84,0,4.61,clear sky
238,Warri,5.5167,5.75,76.23,91,100,4.27,light rain
239,Torbay,47.6666,-52.7314,54.28,86,75,16.11,broken clouds
240,Constitucion,-35.3333,-72.4167,45.59,80,100,1.19,overcast clouds
241,Kiunga,-6.1219,141.2906,79.29,97,100,2.37,overcast clouds
242,Kahului,20.8947,-156.47,78.82,80,40,18.41,scattered clouds
243,Guangyuan,32.442,105.823,92.37,53,92,7.11,overcast clouds
244,Tecolutla,20.4833,-97.0167,78.48,86,99,5.14,overcast clouds
245,Kargil,34.5667,76.1,72.82,34,53,4.59,broken clouds
246,Grand Gaube,-20.0064,57.6608,75.38,57,2,7.0,clear sky
247,Oyama,36.3,139.8,89.58,36,77,12.82,broken clouds
248,Kawalu,-7.3817,108.2082,79.86,69,87,6.2,overcast clouds
249,Brigantine,39.4101,-74.3646,70.0,95,75,0.0,broken clouds
250,Ambilobe,-13.2,49.05,82.13,37,7,14.16,clear sky
251,San Isidro,-12.1167,-77.05,61.02,83,20,2.3,few clouds
252,Chokurdakh,70.6333,147.9167,44.67,86,100,9.1,overcast clouds
253,Aklavik,68.2191,-135.0107,75.72,42,97,7.07,overcast clouds
254,Rio Claro,-22.4114,-47.5614,56.7,55,12,2.08,few clouds
255,Tuensang,26.2833,94.8333,75.33,90,100,1.79,overcast clouds
256,Chapais,49.7834,-74.8492,53.38,95,100,7.85,overcast clouds
257,Pitimbu,-7.4706,-34.8086,72.19,87,43,14.03,scattered clouds
258,Georgetown,5.4112,100.3354,89.55,71,40,9.22,scattered clouds
259,Pisco,-13.7,-76.2167,62.65,77,100,3.44,overcast clouds
260,Yatou,37.15,122.3833,86.41,52,0,2.42,clear sky
261,San Patricio,28.017,-97.5169,84.88,81,0,12.08,clear sky
262,Yazman,29.1212,71.7446,106.03,30,1,7.76,clear sky
263,Fukue,32.6881,128.8419,80.96,100,75,9.22,broken clouds
264,Jalu,29.0331,21.5482,86.95,33,0,9.95,clear sky
265,Benguela,-12.5763,13.4055,68.56,83,16,1.3,few clouds
266,Kununurra,-15.7667,128.7333,80.58,18,16,10.36,few clouds
267,Tocopilla,-22.092,-70.1979,59.18,81,73,9.15,broken clouds
268,Bengkulu,-3.8004,102.2655,82.38,75,20,4.56,few clouds
269,Te Anau,-45.4167,167.7167,38.73,97,100,1.74,overcast clouds
270,Nedjo,9.5046,35.5019,59.74,95,100,3.24,light rain
271,Gryazovets,58.88,40.2525,68.09,59,7,5.75,clear sky
272,Codrington,-38.2667,141.9667,51.48,72,31,15.52,scattered clouds
273,Ambulu,-8.345,113.6058,81.46,56,29,9.4,scattered clouds
274,Kutum,14.2,24.6667,80.49,47,12,7.29,few clouds
275,Batemans Bay,-35.7167,150.1833,57.09,53,47,9.78,scattered clouds
276,Umbraresti,45.7167,27.4667,76.05,40,100,17.92,overcast clouds
277,Saldanha,-33.0117,17.9442,42.85,89,35,6.93,scattered clouds
278,San Luis,-33.295,-66.3356,44.6,28,21,10.8,few clouds
279,Berestechko,50.3605,25.1107,68.0,62,14,4.29,few clouds
280,Hasaki,35.7333,140.8333,82.29,82,15,24.47,few clouds
281,Araouane,18.9048,-3.5265,93.65,27,5,5.12,clear sky
282,Akyab,20.15,92.9,85.55,71,20,12.57,few clouds
283,Penzance,50.1186,-5.5371,61.97,89,5,10.29,clear sky
284,Trinidad,-14.8333,-64.9,76.03,63,81,4.03,broken clouds
285,Sola,-13.8833,167.55,80.17,77,100,12.97,overcast clouds
286,Santana Do Livramento,-30.8908,-55.5328,43.25,70,0,7.65,clear sky
287,Awbari,26.5921,12.7805,88.39,21,0,11.43,clear sky
288,Laon,49.5667,3.6667,59.11,71,3,5.03,clear sky
289,Sur,22.5667,59.5289,87.76,70,100,5.97,light rain
290,Stykkisholmur,65.0757,-22.7297,47.07,83,100,11.56,overcast clouds
291,Araguacu,-12.9306,-49.8264,69.33,54,0,4.81,clear sky
292,Marquette,46.5333,-87.6335,56.77,90,100,3.42,overcast clouds
